t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
19.0041,6892,938,5954,0,0,0,0,1,0.0517848,0.054356,0.0502419,0.0507819,2,1,1,0,64,6862,6881,6892,6892,6892,6892,6892,6892,6892,6892,6892,6892,0
20.0044,7031,988,6043,0,0,0,0,0,0.047208,0.048087,0.0468493,0.0467518,2,1,0,0,64,7029,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,0
21.0046,6979,1000,5979,0,0,0,0,0,0.0476121,0.0475958,0.0477347,0.0475045,1,0,0,1,64,6973,6979,6979,6979,6979,6979,6979,6979,6979,6979,6979,6979,0
22.0048,7051,976,6075,0,0,0,0,0,0.0467016,0.0461841,0.0469155,0.0470218,2,1,1,0,64,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,0
23.0051,7032,1135,5897,0,0,0,0,1,0.0499597,0.0513143,0.050103,0.0485343,3,1,1,1,64,7000,7030,7032,7032,7032,7032,7032,7032,7032,7032,7032,7032,0
24.0053,7063,1089,5974,0,0,0,0,1,0.0479257,0.0476129,0.0482671,0.0478982,1,1,0,0,64,7059,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,0
25.0056,6954,1242,5712,0,0,0,0,1,0.0473806,0.0477545,0.0476653,0.0467221,2,1,0,1,64,6951,6954,6954,6954,6954,6954,6954,6954,6954,6954,6954,6954,0
26.0058,7027,1124,5903,0,0,0,0,1,0.0479753,0.0481047,0.0480078,0.0478117,2,1,0,0,64,7022,7027,7027,7027,7027,7027,7027,7027,7027,7027,7027,7027,0
27.006,7017,1204,5813,0,0,0,0,0,0.0480551,0.0488719,0.0475627,0.0477433,3,1,1,0,64,7010,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,0
28.0062,7048,1282,5766,0,0,0,0,1,0.0479353,0.0479734,0.0483209,0.0475139,1,0,0,1,64,7040,7047,7048,7048,7048,7048,7048,7048,7048,7048,7048,7048,0
29.0063,7042,1317,5725,0,0,0,0,0,0.0473374,0.0477622,0.0471802,0.0470655,4,1,2,0,64,7040,7042,7042,7042,7042,7042,7042,7042,7042,7042,7042,7042,0
30.0065,7047,1366,5681,0,0,0,0,0,0.0470745,0.0476472,0.0468236,0.0467574,2,0,0,2,64,7045,7047,7047,7047,7047,7047,7047,7047,7047,7047,7047,7047,0
31.0068,6995,1345,5650,0,0,0,0,0,0.0480735,0.0474834,0.0478522,0.0488607,2,1,1,0,64,6990,6995,6995,6995,6995,6995,6995,6995,6995,6995,6995,6995,0
32.0071,7036,1345,5691,0,0,0,0,0,0.0473685,0.0475918,0.0465098,0.0480151,2,0,2,0,64,7035,7035,7036,7036,7036,7036,7036,7036,7036,7036,7036,7036,0
33.0073,7031,1423,5608,0,0,0,0,0,0.0536632,0.0530234,0.0520087,0.0560447,2,0,1,1,64,6983,7021,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,0
34.0075,7007,1411,5596,0,0,0,0,0,0.0472788,0.0477068,0.0466885,0.0474492,2,0,0,1,64,7002,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,0
35.0077,7023,1508,5515,0,0,0,0,0,0.048218,0.0488118,0.0485484,0.0473148,3,0,2,0,64,7016,7023,7023,7023,7023,7023,7023,7023,7023,7023,7023,7023,0
36.008,6704,1400,5304,0,0,0,0,0,0.0474755,0.0483012,0.0471762,0.0469735,0,0,0,0,64,6701,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,0
37.0082,6400,1363,5037,0,0,0,0,0,0.0501019,0.0496895,0.0516308,0.0489727,2,1,0,1,64,6377,6395,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,0
38.0084,7068,1565,5503,0,0,0,0,0,0.0481868,0.0482243,0.0484856,0.0478577,3,1,1,0,64,7049,7065,7068,7068,7068,7068,7068,7068,7068,7068,7068,7068,0
39.0086,6985,1566,5419,0,0,0,0,0,0.0475751,0.0475505,0.0479252,0.047251,3,2,0,0,64,6984,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,0
40.0087,7072,1620,5452,0,0,0,0,0,0.0471536,0.0474322,0.0471479,0.0468767,1,0,0,1,64,7070,7070,7072,7072,7072,7072,7072,7072,7072,7072,7072,7072,0
41.009,6745,1545,5200,0,0,0,0,0,0.0524769,0.054856,0.0526907,0.0499248,2,1,0,0,64,6707,6735,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,0
42.0093,6967,1628,5339,0,0,0,0,1,0.0483101,0.0483028,0.0477419,0.0488564,2,0,1,1,64,6961,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,6967,0
43.0094,7068,1688,5380,0,0,0,0,0,0.0471723,0.0475972,0.0465309,0.0473726,3,0,2,1,64,7064,7068,7068,7068,7068,7068,7068,7068,7068,7068,7068,7068,0
44.0096,7077,1756,5321,0,0,0,0,0,0.0480737,0.0485107,0.0478045,0.0479192,2,0,0,1,64,7069,7077,7077,7077,7077,7077,7077,7077,7077,7077,7077,7077,0
