Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

15:56:42      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:58:16     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:17     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:18     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:19     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:20     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:21     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:22     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:23     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:24     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:25     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:26     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:27     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:28     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:29     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:30     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:31     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:32     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:33     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
