t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
18.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0051,38,2,36,0,0,0,0,0,0.0829541,0.0856866,0.0704232,0.088782,2,0,1,1,13,11,26,38,38,38,38,38,38,38,38,38,38,0
20.0055,6379,538,5841,0,0,0,0,0,0.0502814,0.0497537,0.0512531,0.049837,2,2,0,0,64,6356,6379,6379,6379,6379,6379,6379,6379,6379,6379,6379,6379,0
21.0056,6925,616,6309,0,0,0,0,0,0.0467786,0.0468054,0.046714,0.0468162,2,0,0,1,64,6924,6925,6925,6925,6925,6925,6925,6925,6925,6925,6925,6925,0
22.0058,6988,672,6316,0,0,0,0,0,0.047296,0.0479343,0.0470128,0.0469472,2,0,1,1,64,6988,6988,6988,6988,6988,6988,6988,6988,6988,6988,6988,6988,0
23.006,6965,709,6256,0,0,0,0,0,0.0479318,0.0476451,0.0483705,0.0477814,2,1,1,0,64,6961,6962,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,0
24.0061,7043,704,6339,0,0,0,0,0,0.0523129,0.0502428,0.0538559,0.0527524,3,0,1,2,64,7009,7038,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,0
25.0063,7044,761,6283,0,0,0,0,0,0.0478602,0.0475765,0.0478735,0.0481293,2,0,1,1,64,7041,7044,7044,7044,7044,7044,7044,7044,7044,7044,7044,7044,0
26.0065,7004,802,6202,0,0,0,0,0,0.0471547,0.0465488,0.047636,0.047297,2,1,0,1,64,7003,7004,7004,7004,7004,7004,7004,7004,7004,7004,7004,7004,0
27.0066,7032,851,6181,0,0,0,0,2,0.0473414,0.0479771,0.0469107,0.0471458,3,1,1,0,64,7032,7032,7032,7032,7032,7032,7032,7032,7032,7032,7032,7032,0
