t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,q0,q1,q2,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_s0,active_s1,active_s2,waiting_s0,waiting_s1,waiting_s2,circuit_s0,circuit_s1,circuit_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
22.0057,7103,826,6277,0,0,0,0,0,0,0,0.0501379,0.0510432,0.0492641,0.0500917,1,2,0,1,1,0,0,0,0,64,7101,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,0
23.006,7056,871,6185,0,0,0,0,0,0,0,0.0499449,0.0497838,0.049895,0.0501567,3,0,0,3,0,0,0,0,0,64,7054,7055,7056,7056,7056,7056,7056,7056,7056,7056,7056,7056,0
24.0062,7127,918,6209,0,0,0,0,0,0,0,0.049831,0.0496913,0.0502752,0.0495356,0,2,0,0,2,0,0,0,0,64,7126,7127,7127,7127,7127,7127,7127,7127,7127,7127,7127,7127,0
25.0064,7109,896,6213,0,0,0,0,0,0,0,0.0497485,0.0493924,0.0499815,0.0498699,1,0,1,1,0,1,0,0,0,64,7106,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,0
26.0066,7124,968,6156,0,0,0,0,0,0,1,0.0509908,0.0507395,0.0512551,0.0509775,1,0,1,1,0,1,0,0,0,64,7120,7124,7124,7124,7124,7124,7124,7124,7124,7124,7124,7124,0
27.0068,6995,958,6037,0,0,0,0,0,0,0,0.0538018,0.0507417,0.054951,0.0554992,0,1,0,0,1,0,0,0,0,64,6960,6984,6994,6995,6995,6995,6995,6995,6995,6995,6995,6995,0
28.007,7058,979,6079,0,0,0,0,1,0,0,0.0517161,0.0487401,0.0523185,0.0539957,1,0,1,2,0,1,0,0,0,64,7047,7056,7058,7058,7058,7058,7058,7058,7058,7058,7058,7058,0
29.0072,7109,982,6127,0,0,0,0,0,0,0,0.0509232,0.0504049,0.0526359,0.0497022,1,1,0,1,1,0,0,0,0,64,7089,7108,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,0
30.0073,7152,1111,6041,0,0,0,0,0,0,0,0.0495756,0.0498287,0.0493102,0.0495944,0,0,2,0,0,2,0,0,0,64,7150,7152,7152,7152,7152,7152,7152,7152,7152,7152,7152,7152,0
31.0076,7116,1153,5963,0,0,0,0,0,0,0,0.0507567,0.0501683,0.0510827,0.0509918,1,1,0,1,1,0,0,0,0,64,7114,7116,7116,7116,7116,7116,7116,7116,7116,7116,7116,7116,0
32.0078,7133,1215,5918,0,0,0,0,0,0,0,0.0502001,0.0495641,0.0507289,0.0503409,0,0,1,0,0,1,0,0,0,64,7128,7133,7133,7133,7133,7133,7133,7133,7133,7133,7133,7133,0
33.0079,7076,1155,5921,0,0,0,0,0,0,0,0.049753,0.0493887,0.050312,0.0495185,0,1,0,0,1,0,0,0,0,64,7072,7076,7076,7076,7076,7076,7076,7076,7076,7076,7076,7076,0
34.0081,7051,1205,5846,0,0,0,0,0,0,0,0.0512806,0.0526886,0.0510739,0.0501806,0,3,1,0,2,0,0,0,0,64,7044,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,0
35.0082,7108,1308,5800,0,0,0,0,0,0,1,0.050192,0.0504829,0.0496241,0.0504705,0,0,2,0,0,2,0,0,0,64,7104,7107,7108,7108,7108,7108,7108,7108,7108,7108,7108,7108,0
36.0084,7096,1265,5831,0,0,0,0,0,0,0,0.050202,0.050056,0.0507425,0.0498302,0,1,1,0,1,1,0,0,0,64,7091,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,0
37.0086,7097,1376,5721,0,0,0,0,1,0,0,0.0503368,0.0512126,0.050219,0.0495865,1,1,1,1,0,1,0,0,0,64,7089,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,0
38.0088,7067,1387,5680,0,0,0,0,0,0,0,0.0505053,0.0516658,0.0512266,0.048623,2,0,0,2,0,0,0,0,0,64,7064,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,0
39.009,7091,1371,5720,0,0,0,0,0,0,0,0.0504535,0.0512328,0.0504428,0.0497139,2,0,1,2,0,1,0,0,0,64,7083,7090,7091,7091,7091,7091,7091,7091,7091,7091,7091,7091,0
40.0092,7150,1443,5707,0,0,0,0,1,0,0,0.0498763,0.0503181,0.0497495,0.0495482,0,1,1,0,1,0,0,0,0,64,7146,7150,7150,7150,7150,7150,7150,7150,7150,7150,7150,7150,0
41.0094,7140,1451,5689,0,0,0,0,0,1,0,0.0500115,0.0502761,0.0493628,0.0503985,0,2,1,0,2,1,0,0,0,64,7138,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,0
42.0096,7109,1458,5651,0,0,0,0,0,0,1,0.0503337,0.050073,0.0522541,0.0487611,0,1,0,0,1,0,0,0,0,64,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,0
43.0097,7097,1510,5587,0,0,0,0,0,0,0,0.050249,0.0498799,0.0515186,0.0493272,2,1,1,2,0,1,0,0,0,64,7094,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,0
44.0099,7061,1509,5552,0,0,0,0,0,0,0,0.0511673,0.0504004,0.0515496,0.0515156,1,1,0,1,1,0,0,0,0,64,7046,7059,7061,7061,7061,7061,7061,7061,7061,7061,7061,7061,0
45.0101,6867,1536,5331,0,0,0,0,0,0,1,0.0507358,0.0495261,0.0515901,0.0510975,1,0,2,1,0,1,0,0,0,64,6847,6861,6867,6867,6867,6867,6867,6867,6867,6867,6867,6867,0
46.0102,7116,1621,5495,0,0,0,0,0,0,0,0.0502523,0.0490724,0.0510771,0.0505689,1,0,1,1,0,1,0,0,0,64,7102,7112,7116,7116,7116,7116,7116,7116,7116,7116,7116,7116,0
47.0104,5433,1167,4002,5,259,0,0,1,0,0,2.69542,0.0514198,0.0515527,8.51887,2,0,0,2,0,0,0,0,1,64,5358,5365,5369,5369,5369,5369,5369,5369,5433,5433,5433,5433,0
48.0108,6788,1033,3474,0,2281,0,0,0,0,0,0.0521841,0.0520573,0.0524564,0.0506036,0,1,1,0,1,1,0,0,0,64,6779,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,0
49.011,7102,1064,3705,1,2332,0,0,0,0,0,0.0512707,0.0503229,0.0518699,0.0534795,0,2,0,0,2,0,0,0,1,64,7101,7101,7101,7101,7101,7101,7101,7101,7102,7102,7102,7102,0
50.0111,7175,1168,3539,1,2467,0,0,0,0,0,0.0519577,0.0518216,0.0513968,0.0545207,1,1,0,1,1,0,0,0,1,64,7173,7174,7174,7174,7174,7174,7174,7174,7175,7175,7175,7175,0
51.0113,7146,1192,3651,1,2302,0,0,0,0,0,0.0523434,0.0529933,0.0517633,0.0520939,1,3,0,1,3,0,0,0,1,64,7142,7145,7145,7145,7145,7145,7145,7145,7146,7146,7146,7146,0
52.0115,7127,1186,3559,1,2381,0,0,0,0,0,0.0514754,0.0513168,0.0514452,0.0522161,0,2,0,0,2,0,0,0,1,64,7125,7126,7126,7126,7126,7126,7126,7126,7127,7127,7127,7127,0
53.0118,7082,1179,3557,0,2346,0,0,0,0,0,0.0517131,0.0511078,0.0520145,0.0567662,2,0,1,1,0,1,0,0,0,64,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,0
54.012,7077,1286,3480,1,2310,0,0,0,0,0,0.051676,0.0508639,0.0522433,0.0532338,0,2,0,0,2,0,0,0,1,64,7074,7076,7076,7076,7076,7076,7076,7076,7077,7077,7077,7077,0
55.0122,7152,1209,3604,1,2338,0,0,0,0,0,0.0514733,0.0510078,0.0515451,0.0530557,1,0,0,1,0,0,0,0,1,64,7149,7151,7151,7151,7151,7151,7151,7151,7152,7152,7152,7152,0
56.0124,7140,1281,3505,1,2353,0,0,0,0,0,0.0521276,0.052448,0.0516319,0.0528219,0,1,0,0,1,0,0,0,1,64,7137,7139,7139,7139,7139,7139,7139,7139,7140,7140,7140,7140,0
57.0128,7112,1273,3485,1,2353,0,0,0,0,0,0.0514463,0.0513911,0.0518987,0.049962,2,1,0,1,1,0,0,0,1,64,7109,7111,7111,7111,7111,7111,7111,7111,7112,7112,7112,7112,0
58.013,7054,1373,3342,0,2339,0,0,1,0,0,0.0531809,0.0535986,0.0527823,0.0525433,2,1,1,1,1,1,0,0,0,64,7049,7054,7054,7054,7054,7054,7054,7054,7054,7054,7054,7054,0
59.0132,7072,1333,3304,1,2434,0,0,0,0,0,0.0525318,0.0531218,0.0522212,0.0513102,0,0,0,0,0,0,0,0,1,64,7070,7071,7071,7071,7071,7071,7071,7071,7072,7072,7072,7072,0
60.0134,6915,1294,3298,1,2322,0,0,0,1,0,0.0518008,0.0527184,0.0510269,0.0511954,0,2,0,0,2,0,0,0,1,64,6914,6914,6914,6914,6914,6914,6914,6914,6915,6915,6915,6915,0
61.0136,7126,1390,3431,1,2304,0,0,0,1,0,0.0518926,0.0526122,0.0508882,0.0529747,0,1,0,0,1,0,0,0,1,64,7124,7125,7125,7125,7125,7125,7125,7125,7126,7126,7126,7126,0
62.0138,6914,1304,3344,1,2265,0,0,0,0,0,0.0526185,0.0532671,0.0516822,0.0539283,1,1,0,1,1,0,0,0,1,64,6913,6913,6913,6913,6913,6913,6913,6913,6914,6914,6914,6914,0
63.014,7099,1352,3364,0,2383,0,0,0,0,0,0.0523329,0.0522837,0.0524399,0.0488942,3,1,0,3,1,0,0,0,0,64,7090,7098,7099,7099,7099,7099,7099,7099,7099,7099,7099,7099,0
64.0142,7100,1962,5138,0,0,0,0,1,1,0,0.0502747,0.0501461,0.0518024,0.0489095,1,0,0,1,0,0,0,0,0,64,7090,7099,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,0
65.0144,7150,1969,5181,0,0,0,0,0,0,0,0.0522528,0.0542085,0.0521098,0.0503697,0,1,1,0,0,1,0,0,0,64,7129,7150,7150,7150,7150,7150,7150,7150,7150,7150,7150,7150,0
66.0146,7133,2027,5106,0,0,0,0,0,0,0,0.0621922,0.0690708,0.0593871,0.0581283,2,1,0,1,1,0,0,0,0,64,7052,7097,7132,7133,7133,7133,7133,7133,7133,7133,7133,7133,0
67.0147,7139,2049,5090,0,0,0,0,0,0,0,0.0503761,0.050065,0.050695,0.0503717,1,0,1,0,0,1,0,0,0,64,7136,7139,7139,7139,7139,7139,7139,7139,7139,7139,7139,7139,0
68.0149,7071,2025,5046,0,0,0,0,0,0,0,0.0506752,0.050955,0.0509835,0.0500694,1,1,0,1,1,0,0,0,0,64,7068,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,0
69.0152,7112,2071,5041,0,0,0,0,0,0,0,0.0507812,0.0507265,0.0512463,0.0503825,1,0,3,1,0,3,0,0,0,64,7107,7112,7112,7112,7112,7112,7112,7112,7112,7112,7112,7112,0
70.0154,7071,2129,4942,0,0,0,0,0,2,0,0.050351,0.0506701,0.0505675,0.0498046,3,0,0,3,0,0,0,0,0,64,7069,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,0
71.0156,6607,1945,4662,0,0,0,0,0,0,0,0.0566207,0.0575579,0.057225,0.0551058,1,3,0,1,3,0,0,0,0,64,6562,6588,6604,6607,6607,6607,6607,6607,6607,6607,6607,6607,0
72.0158,7123,2141,4982,0,0,0,0,0,0,0,0.0495995,0.049658,0.0491884,0.0499463,1,1,2,0,1,2,0,0,0,64,7123,7123,7123,7123,7123,7123,7123,7123,7123,7123,7123,7123,0
73.0162,7127,2160,4967,0,0,0,0,0,0,0,0.0498562,0.0493787,0.0498238,0.050354,2,1,0,2,1,0,0,0,0,64,7126,7127,7127,7127,7127,7127,7127,7127,7127,7127,7127,7127,0
74.0164,7105,2199,4906,0,0,0,0,0,0,0,0.0513087,0.0519627,0.0500836,0.0519698,0,2,0,0,2,0,0,0,0,64,7093,7105,7105,7105,7105,7105,7105,7105,7105,7105,7105,7105,0
75.0166,7078,2325,4753,0,0,0,0,0,0,0,0.0512708,0.0512283,0.0519056,0.0507001,0,0,2,0,0,2,0,0,0,64,7068,7078,7078,7078,7078,7078,7078,7078,7078,7078,7078,7078,0
76.0167,7126,2349,4777,0,0,0,0,0,0,0,0.0501231,0.0494743,0.0504108,0.0504841,1,1,1,1,1,1,0,0,0,64,7125,7126,7126,7126,7126,7126,7126,7126,7126,7126,7126,7126,0
77.0169,7140,2289,4851,0,0,0,0,0,0,0,0.0501416,0.0497076,0.0505082,0.0502164,0,2,1,0,1,1,0,0,0,64,7138,7139,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,0
78.0171,7096,2319,4777,0,0,0,0,1,0,0,0.049844,0.049827,0.0501125,0.0495959,0,0,1,0,0,1,0,0,0,64,7095,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,0
79.0173,7166,2329,4837,0,0,0,0,0,0,0,0.0509844,0.0515378,0.0507275,0.0506755,0,1,0,0,1,0,0,0,0,64,7155,7165,7166,7166,7166,7166,7166,7166,7166,7166,7166,7166,0
80.0175,7108,2378,4730,0,0,0,0,0,0,0,0.0514152,0.051577,0.0514466,0.0512223,1,0,0,1,0,0,0,0,0,64,7092,7108,7108,7108,7108,7108,7108,7108,7108,7108,7108,7108,0
81.0176,7096,2371,4725,0,0,0,0,0,0,0,0.0506138,0.0499545,0.0517962,0.0501361,1,0,0,1,0,0,0,0,0,64,7088,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,0
82.0178,7112,2357,4755,0,0,0,0,1,0,0,0.0501193,0.0488235,0.0506353,0.0508594,2,0,0,2,0,0,0,0,0,64,7106,7112,7112,7112,7112,7112,7112,7112,7112,7112,7112,7112,0
