t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,q0,q1,q2,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_s0,active_s1,active_s2,waiting_s0,waiting_s1,waiting_s2,circuit_s0,circuit_s1,circuit_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
11.0027,7089,763,6326,0,0,0,0,0,1,0,0.0616392,0.0643155,0.0594319,0.0611588,1,0,1,1,0,1,0,0,0,64,7025,7069,7089,7089,7089,7089,7089,7089,7089,7089,7089,7089,0
12.0029,7119,807,6312,0,0,0,0,0,0,0,0.0676435,0.0708909,0.0696754,0.0623243,1,0,1,1,0,1,0,0,0,64,6975,7081,7119,7119,7119,7119,7119,7119,7119,7119,7119,7119,0
13.003,7177,868,6309,0,0,0,0,0,0,0,0.0496676,0.0499168,0.0495391,0.0495459,1,0,1,1,0,1,0,0,0,64,7174,7175,7177,7177,7177,7177,7177,7177,7177,7177,7177,7177,0
14.0032,7105,897,6208,0,0,0,0,0,0,0,0.049687,0.050326,0.0498393,0.0488745,0,1,2,0,1,2,0,0,0,64,7104,7105,7105,7105,7105,7105,7105,7105,7105,7105,7105,7105,0
15.0034,7173,913,6260,0,0,0,0,0,0,0,0.052421,0.0515091,0.0537201,0.0520235,0,1,1,0,1,0,0,0,0,64,7150,7173,7173,7173,7173,7173,7173,7173,7173,7173,7173,7173,0
16.0036,7135,950,6185,0,0,0,0,0,0,0,0.0506385,0.051014,0.0502952,0.0506036,0,2,3,0,2,2,0,0,0,64,7132,7135,7135,7135,7135,7135,7135,7135,7135,7135,7135,7135,0
17.0037,6955,947,6008,0,0,0,0,0,0,0,0.051242,0.0507068,0.0509524,0.0520536,0,2,0,0,2,0,0,0,0,64,6946,6954,6955,6955,6955,6955,6955,6955,6955,6955,6955,6955,0
18.0039,7111,1011,6100,0,0,0,0,0,0,0,0.0507276,0.0502037,0.0515189,0.0504162,0,0,1,0,0,1,0,0,0,64,7093,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,0
19.0041,7159,970,6189,0,0,0,0,0,0,1,0.0514275,0.0506419,0.0507588,0.0528612,0,0,1,0,0,1,0,0,0,64,7147,7158,7159,7159,7159,7159,7159,7159,7159,7159,7159,7159,0
20.0042,7148,1044,6104,0,0,0,0,0,1,0,0.0512308,0.0514162,0.0510216,0.0512565,1,0,0,1,0,0,0,0,0,64,7135,7148,7148,7148,7148,7148,7148,7148,7148,7148,7148,7148,0
21.0044,7117,1161,5956,0,0,0,0,0,0,0,0.050351,0.0502043,0.0517605,0.0490525,1,1,0,1,1,0,0,0,0,64,7111,7117,7117,7117,7117,7117,7117,7117,7117,7117,7117,7117,0
22.0046,7046,1163,5883,0,0,0,0,0,0,0,0.0499122,0.0500882,0.0507002,0.0489759,0,1,0,0,1,0,0,0,0,64,7044,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,0
23.0047,7101,1176,5925,0,0,0,0,0,0,0,0.0506485,0.0509362,0.0505513,0.0504551,0,1,0,0,1,0,0,0,0,64,7094,7100,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,0
24.0049,7096,1149,5947,0,0,0,0,0,0,0,0.0504151,0.0510885,0.0508182,0.0493681,0,0,1,0,0,1,0,0,0,64,7093,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,0
25.0051,7122,1316,5806,0,0,0,0,0,0,0,0.0517259,0.0496217,0.0527978,0.0527192,1,0,0,1,0,0,0,0,0,64,7112,7121,7122,7122,7122,7122,7122,7122,7122,7122,7122,7122,0
26.0053,7086,1254,5832,0,0,0,0,0,0,0,0.0500957,0.0506916,0.0492003,0.0503904,0,1,0,0,1,0,0,0,0,64,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,0
27.0055,7111,1355,5756,0,0,0,0,0,0,0,0.0502098,0.0500556,0.0501079,0.0504607,1,0,0,1,0,0,0,0,0,64,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,7111,0
28.0056,7098,1372,5726,0,0,0,0,0,0,0,0.0497315,0.0510918,0.0493777,0.0487522,0,1,2,0,1,2,0,0,0,64,7095,7098,7098,7098,7098,7098,7098,7098,7098,7098,7098,7098,0
29.0058,7139,1344,5795,0,0,0,0,0,0,0,0.0492488,0.0500997,0.048696,0.0489798,1,0,1,0,0,1,0,0,0,64,7139,7139,7139,7139,7139,7139,7139,7139,7139,7139,7139,7139,0
30.006,7157,1444,5713,0,0,0,0,0,0,0,0.0507591,0.0503786,0.0505829,0.0513297,1,0,1,1,0,1,0,0,0,64,7144,7156,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,0
31.0063,7109,1468,5641,0,0,0,0,0,0,0,0.049964,0.0506188,0.0490473,0.0502542,2,0,1,2,0,1,0,0,0,64,7100,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,0
32.0066,7071,1413,5658,0,0,0,0,0,0,0,0.0496326,0.0505183,0.0491049,0.049276,2,2,1,2,1,1,0,0,0,64,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,0
33.0068,7101,1508,5593,0,0,0,0,0,0,0,0.0501146,0.0503421,0.0497386,0.0502634,0,1,2,0,1,2,0,0,0,64,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,0
34.0069,7127,1536,5591,0,0,0,0,1,0,0,0.0501658,0.0499384,0.0507958,0.0497564,0,2,0,0,2,0,0,0,0,64,7120,7126,7127,7127,7127,7127,7127,7127,7127,7127,7127,7127,0
35.0071,7095,1558,5537,0,0,0,0,0,0,0,0.0506247,0.0509922,0.050669,0.0502176,2,0,0,2,0,0,0,0,0,64,7085,7095,7095,7095,7095,7095,7095,7095,7095,7095,7095,7095,0
36.0073,7097,1591,5506,0,0,0,0,0,0,0,0.0497344,0.0501764,0.0496181,0.0494127,2,2,0,2,2,0,0,0,0,64,7092,7096,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,0
37.0074,7164,1635,5529,0,0,0,0,0,0,0,0.0508491,0.0501993,0.050223,0.0520959,0,0,2,0,0,2,0,0,0,64,7155,7164,7164,7164,7164,7164,7164,7164,7164,7164,7164,7164,0
38.0076,6783,1533,5250,0,0,0,0,1,0,0,0.0511206,0.0505261,0.0515668,0.0512781,0,0,2,0,0,1,0,0,0,64,6758,6774,6783,6783,6783,6783,6783,6783,6783,6783,6783,6783,0
39.0078,7059,1600,5459,0,0,0,0,0,0,0,0.0509235,0.0499049,0.0519993,0.0508867,1,1,0,1,1,0,0,0,0,64,7053,7058,7059,7059,7059,7059,7059,7059,7059,7059,7059,7059,0
40.0079,7167,1738,5429,0,0,0,0,0,0,0,0.0507014,0.0508015,0.0506882,0.0506119,0,2,0,0,1,0,0,0,0,64,7165,7166,7167,7167,7167,7167,7167,7167,7167,7167,7167,7167,0
41.0081,7103,1754,5349,0,0,0,0,0,0,0,0.0494009,0.049894,0.0489654,0.0493611,2,2,0,1,2,0,0,0,0,64,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,0
42.0083,7079,1789,5290,0,0,0,0,0,0,0,0.0508793,0.0506521,0.0503563,0.0516443,1,2,1,1,1,1,0,0,0,64,7077,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,0
43.0085,7103,1793,5310,0,0,0,0,1,0,1,0.0507945,0.0508525,0.0508994,0.0506271,0,1,0,0,1,0,0,0,0,64,7100,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,7103,0
44.0087,7134,1834,5300,0,0,0,0,0,0,0,0.0493786,0.0488446,0.0494917,0.0498193,1,0,1,1,0,0,0,0,0,64,7132,7134,7134,7134,7134,7134,7134,7134,7134,7134,7134,7134,0
45.0089,7119,1860,5259,0,0,0,0,0,0,0,0.0513378,0.0530847,0.0500946,0.0508905,1,0,1,1,0,1,0,0,0,64,7107,7118,7119,7119,7119,7119,7119,7119,7119,7119,7119,7119,0
46.0091,7123,1830,5293,0,0,0,0,0,0,0,0.0501609,0.0503323,0.0498217,0.0503318,1,1,0,1,1,0,0,0,0,64,7119,7122,7123,7123,7123,7123,7123,7123,7123,7123,7123,7123,0
47.0092,7060,1863,5197,0,0,0,0,1,0,0,0.0506416,0.0506563,0.0511296,0.0501251,1,2,0,1,2,0,0,0,0,64,7053,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,0
48.0094,7106,1982,5124,0,0,0,0,0,0,0,0.0505236,0.0513575,0.0487681,0.0513789,2,1,0,2,1,0,0,0,0,64,7101,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,7106,0
49.0096,7064,1965,5099,0,0,0,0,0,0,0,0.0500977,0.0501151,0.0497027,0.0504701,0,1,0,0,1,0,0,0,0,64,7059,7064,7064,7064,7064,7064,7064,7064,7064,7064,7064,7064,0
50.0097,7073,2011,5062,0,0,0,0,0,0,0,0.0508334,0.0525441,0.0511627,0.0487739,1,1,0,1,1,0,0,0,0,64,7063,7073,7073,7073,7073,7073,7073,7073,7073,7073,7073,7073,0
51.0099,7044,1983,5061,0,0,0,0,1,1,0,0.0503728,0.0509679,0.0510625,0.0490777,0,0,0,0,0,0,0,0,0,64,7037,7044,7044,7044,7044,7044,7044,7044,7044,7044,7044,7044,0
52.0101,7048,2030,5018,0,0,0,0,0,0,0,0.0500333,0.0513915,0.0495331,0.0491789,0,2,1,0,2,0,0,0,0,64,7042,7046,7048,7048,7048,7048,7048,7048,7048,7048,7048,7048,0
53.0103,7011,2006,5005,0,0,0,0,0,0,0,0.0506881,0.0519193,0.0502428,0.0499325,3,2,0,3,2,0,0,0,0,64,7003,7010,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,0
54.0106,7026,2078,4948,0,0,0,0,0,1,0,0.0511267,0.0518329,0.0521695,0.0493805,0,1,2,0,1,0,0,0,0,64,7021,7026,7026,7026,7026,7026,7026,7026,7026,7026,7026,7026,0
55.0107,7074,2105,4969,0,0,0,0,0,0,0,0.0502846,0.0501778,0.0504154,0.0502648,0,1,0,0,1,0,0,0,0,64,7070,7073,7074,7074,7074,7074,7074,7074,7074,7074,7074,7074,0
56.0109,7036,2179,4857,0,0,0,0,1,0,0,0.0499942,0.0498356,0.0499202,0.050217,0,1,1,0,1,1,0,0,0,64,7032,7035,7036,7036,7036,7036,7036,7036,7036,7036,7036,7036,0
57.0111,7044,2094,4950,0,0,0,0,0,0,0,0.0518026,0.0524337,0.049987,0.0529724,0,2,0,0,2,0,0,0,0,64,7036,7044,7044,7044,7044,7044,7044,7044,7044,7044,7044,7044,0
58.0113,7030,2121,4909,0,0,0,0,0,0,0,0.0502402,0.0505404,0.0497241,0.0504769,2,0,0,2,0,0,0,0,0,64,7027,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,0
59.0114,6971,2192,4779,0,0,0,0,0,0,0,0.0501205,0.0504503,0.0495885,0.0503072,2,0,0,2,0,0,0,0,0,64,6968,6971,6971,6971,6971,6971,6971,6971,6971,6971,6971,6971,0
60.0116,7034,2266,4768,0,0,0,0,0,0,0,0.0507885,0.0506821,0.0509653,0.0507237,0,0,1,0,0,1,0,0,0,64,7027,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,0
61.0118,6488,2037,4451,0,0,0,0,1,0,0,0.0602704,0.0628579,0.0535037,0.0647775,1,1,0,0,1,0,0,0,0,64,6419,6467,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,0
62.0119,7050,2174,4876,0,0,0,0,0,0,0,0.0497904,0.0500551,0.0500251,0.0493091,1,1,1,1,1,1,0,0,0,64,7048,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,0
63.0121,7079,2288,4791,0,0,0,0,0,0,0,0.0496922,0.0490271,0.0498429,0.0502213,1,0,1,1,0,1,0,0,0,64,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,0
64.0123,7038,2323,4715,0,0,0,0,0,0,1,0.0503209,0.0497599,0.0508109,0.0503419,1,0,0,0,0,0,0,0,0,64,7032,7038,7038,7038,7038,7038,7038,7038,7038,7038,7038,7038,0
65.0124,7009,2359,4650,0,0,0,0,0,0,0,0.0509335,0.0505796,0.0521264,0.0500997,3,0,0,3,0,0,0,0,0,64,7003,7007,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,0
66.0126,6949,2397,4552,0,0,0,0,0,0,0,0.0507546,0.0502896,0.0508729,0.0510979,0,0,2,0,0,2,0,0,0,64,6946,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,0
67.0128,7021,2409,4612,0,0,0,0,1,0,0,0.0519116,0.0517608,0.0505488,0.05343,1,0,2,0,0,2,0,0,0,64,7006,7019,7021,7021,7021,7021,7021,7021,7021,7021,7021,7021,0
68.013,7083,2408,4675,0,0,0,0,0,0,0,0.0492498,0.0487782,0.0498021,0.0491709,0,2,1,0,1,1,0,0,0,64,7082,7082,7083,7083,7083,7083,7083,7083,7083,7083,7083,7083,0
69.0132,7063,2455,4608,0,0,0,0,0,0,1,0.0501568,0.051088,0.0484744,0.0509089,0,0,2,0,0,2,0,0,0,64,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,0
70.0134,7063,2460,4603,0,0,0,0,0,0,0,0.0517023,0.0515086,0.0536342,0.0500373,0,0,2,0,0,2,0,0,0,64,7051,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,0
71.0136,7087,2499,4588,0,0,0,0,0,0,0,0.049506,0.04938,0.0500762,0.0490561,0,2,0,0,2,0,0,0,0,64,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,0
72.0138,7040,2410,4630,0,0,0,0,0,1,0,0.0504645,0.0502377,0.0513571,0.0497776,1,1,0,1,1,0,0,0,0,64,7038,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,0
73.0141,7034,2559,4475,0,0,0,0,0,0,0,0.0509856,0.0500209,0.0506422,0.0523356,0,1,1,0,1,1,0,0,0,64,7019,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,0
74.0144,7027,2566,4461,0,0,0,0,0,0,0,0.0526493,0.0508706,0.0566516,0.0505509,1,1,1,1,1,1,0,0,0,64,6999,7016,7027,7027,7027,7027,7027,7027,7027,7027,7027,7027,0
75.0146,6720,2360,4360,0,0,0,0,0,0,0,0.0502033,0.0502688,0.0496967,0.0506415,0,0,0,0,0,0,0,0,0,35,6713,6720,6720,6720,6720,6720,6720,6720,6720,6720,6720,6720,0
76.0148,2,1,1,0,0,0,0,0,0,0,0.108703,0.113536,0,0.103869,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0
77.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
